item,sentence,sentence_type,group,adverb,word,seen_in_training,target_response
41,The [subj] seems to have usually blorked the [obj].,raising perfect transitive,white_red,usually,blood,True,[obj]
42,It is the [subj] that has always blorked the [obj].,cleft subject perfect transitive,white_red,always,blood,True,[obj]
43,The [subj] hasn't often blorked the [obj].,neg perfect transitive,white_red,often,blood,True,[obj]
44,It is the [subj] that seems to have typically blorked the [obj].,cleft subject raising perfect transitive,white_red,typically,blood,True,[obj]
45,The [obj] has usually been blorked by the [subj].,perfect passive,white_red,usually,blood,True,[obj]
46,The [obj] seems to have always been blorked by the [subj].,raising perfect passive,white_red,always,blood,True,[obj]
47,It is the [obj] that has often been blorked by the [subj].,cleft subject perfect passive,white_red,often,blood,True,[obj]
48,The [obj] hasn't typically been blorked by the [subj].,neg perfect passive,white_red,typically,blood,True,[obj]
49,It is the [obj] that seems to have usually been blorked by the [subj].,cleft subject raising perfect passive,white_red,usually,blood,True,[obj]
50,The [subj] has usually blorked the [obj].,perfect transitive,white_red,usually,ruby,True,[obj]
51,The [subj] seems to have always blorked the [obj].,raising perfect transitive,white_red,always,ruby,True,[obj]
52,It is the [subj] that has often blorked the [obj].,cleft subject perfect transitive,white_red,often,ruby,True,[obj]
53,The [subj] hasn't typically blorked the [obj].,neg perfect transitive,white_red,typically,ruby,True,[obj]
54,It is the [subj] that seems to have usually blorked the [obj].,cleft subject raising perfect transitive,white_red,usually,ruby,True,[obj]
55,The [obj] has always been blorked by the [subj].,perfect passive,white_red,always,ruby,True,[obj]
56,The [obj] seems to have often been blorked by the [subj].,raising perfect passive,white_red,often,ruby,True,[obj]
57,It is the [obj] that has typically been blorked by the [subj].,cleft subject perfect passive,white_red,typically,ruby,True,[obj]
58,The [obj] hasn't usually been blorked by the [subj].,neg perfect passive,white_red,usually,ruby,True,[obj]
59,It is the [obj] that seems to have always been blorked by the [subj].,cleft subject raising perfect passive,white_red,always,ruby,True,[obj]
60,The [subj] has always blorked the [obj].,perfect transitive,white_red,always,lobster,True,[obj]
61,The [subj] seems to have often blorked the [obj].,raising perfect transitive,white_red,often,lobster,True,[obj]
62,It is the [subj] that has typically blorked the [obj].,cleft subject perfect transitive,white_red,typically,lobster,True,[obj]
63,The [subj] hasn't usually blorked the [obj].,neg perfect transitive,white_red,usually,lobster,True,[obj]
64,It is the [subj] that seems to have always blorked the [obj].,cleft subject raising perfect transitive,white_red,always,lobster,True,[obj]
65,The [obj] has often been blorked by the [subj].,perfect passive,white_red,often,lobster,True,[obj]
66,The [obj] seems to have typically been blorked by the [subj].,raising perfect passive,white_red,typically,lobster,True,[obj]
67,It is the [obj] that has usually been blorked by the [subj].,cleft subject perfect passive,white_red,usually,lobster,True,[obj]
68,The [obj] hasn't always been blorked by the [subj].,neg perfect passive,white_red,always,lobster,True,[obj]
69,It is the [obj] that seems to have often been blorked by the [subj].,cleft subject raising perfect passive,white_red,often,lobster,True,[obj]
70,The [subj] has often blorked the [obj].,perfect transitive,white_red,often,tomato,True,[obj]
71,The [subj] seems to have typically blorked the [obj].,raising perfect transitive,white_red,typically,tomato,True,[obj]
72,It is the [subj] that has usually blorked the [obj].,cleft subject perfect transitive,white_red,usually,tomato,True,[obj]
73,The [subj] hasn't always blorked the [obj].,neg perfect transitive,white_red,always,tomato,True,[obj]
74,It is the [subj] that seems to have often blorked the [obj].,cleft subject raising perfect transitive,white_red,often,tomato,True,[obj]
75,The [obj] has typically been blorked by the [subj].,perfect passive,white_red,typically,tomato,True,[obj]
76,The [obj] seems to have usually been blorked by the [subj].,raising perfect passive,white_red,usually,tomato,True,[obj]
77,It is the [obj] that has always been blorked by the [subj].,cleft subject perfect passive,white_red,always,tomato,True,[obj]
78,The [obj] hasn't often been blorked by the [subj].,neg perfect passive,white_red,often,tomato,True,[obj]
79,It is the [obj] that seems to have typically been blorked by the [subj].,cleft subject raising perfect passive,white_red,typically,tomato,True,[obj]
